Partner Name,American Express MIDs,MasterCard MIDs,Visa MIDs,Address (Building Name/Number Street),Postcode,Town/City,County/State,Country,Action
Harvester,9421504929,,,Beulah Hill,SE19 3DS,LONDON,,UK,A
Harvester,9421504952,,,Lavernock Road,CF64 5UP,SOUTH GLAMORGAN,,UK,A
Harvester,9421242751,,,London Road,SS16 5LD,BASILDON,,UK,A
Harvester,9421183187,,,224 Sutton Common Road,SM3 9PW,SURREY,,UK,A
Harvester,9421760588,,,Hagley Road,B63 1DQ,HALESOWEN,,UK,A
Harvester,9421670399,,,Bath Road,WR5 3HP,WORCESTER,,UK,A
Harvester,9421079658,,,81 Old Woking Road,KT14 6JA,SURREY,,UK,A
Harvester,9421669250,,,98 Grimstead Lane,BN15 9DP,WEST SUSSEX,,UK,A
Harvester,9421401076,,,Brownsover Road,CV21 1HL,WARWICKSHIRE,,UK,A
Harvester,9421534082,,,Stratford Rd,B90 4EE,WEST MIDLANDS,,UK,A
Harvester,9421026865,,,900 High Road,RM6 4HU,ESSEX,,UK,A
Harvester,9421048463,,,36 Addington Village Rd,CR0 5AQ,CROYDON,,UK,A
Harvester,9421188558,,,125 Abbs Cross Lane,RM12 4XS,ESSEX,,UK,A
Harvester,9421144080,,,Henley Road,B80 7DR,STUDLEY,,UK,A
Harvester,9421756693,,,Station Road,B46 1EE,BIRMINGHAM,,UK,A
Harvester,9420228421,,,Birmingham Road,B43 7AG,BIRMINGHAM,,UK,A
Harvester,9421669318,,,Springfield Road,CM2 6BA,CHELMSFORD,,UK,A
Harvester,9421671223,,,Arden Oak Road,B26 3LU,BIRMINGHAM,,UK,A
Harvester,9421407206,,,London Road,SS7 5SQ,ESSEX,,UK,A
Harvester,9421242173,,,Vera Avenue,N21 1RE,LONDON,,UK,A
Harvester,9421803917,,,Stirling Corner,EN5 3JG,HERTS,,UK,A
Harvester,9421297292,,,290 Birmingham Road,B60 1JH,BROMSGROVE,,UK,A
Harvester,9421671405,,,26 Hagley Road West,B67 5EY,WEST MIDLANDS,,UK,A
Harvester,9421671462,,,Watling Street,LE10 2JQ,HINCKLEY,,UK,A
Harvester,9421523549,,,338 Bowes Road,N11 1AN,LONDON,,UK,A
Harvester,9421113515,,,Beehive Lane,IG4 5DR,ESSEX,,UK,A
Harvester,9421113564,,,Straight Road,SL4 2SH,BERKSHIRE,,UK,A
Harvester,9421113572,,,London Road,BN1 8YQ,BRIGHTON,,UK,A
Harvester,9421113598,,,Boldmere Road,B73 5UP,WEST MIDLANDS,,UK,A
Harvester,9421113663,,,323 Malpas Road,NP20 6EP,GWENT,,UK,A
Harvester,9421113671,,,London Road,OX33 1JH,OXFORD,,UK,A
Harvester,9421669433,,,14 The Avenue,PO14 1NS,HAMPSHIRE,,UK,A
Harvester,9421113705,,,556 London Road,TW15 3AF,MIDDLESEX,,UK,A
Harvester,9421113721,,,Circle Way East,CF23 9PD,CARDIFF,,UK,A
Harvester,9421113754,,,700 Castle Lane West,BH8 9UQ,DORSET,,UK,A
Harvester,9421113762,,,286 Southborough Lane,BR2 8AA,KENT,,UK,A
Harvester,9421113788,,,126 Bath Road,BS30 9DE,BRISTOL,,UK,A
Harvester,9421113960,,,Lingfield Crescent,SE9 2RN,LONDON,,UK,A
Harvester,9421113994,,,London Road,MK5 8AF,MILTON KEYNES,,UK,A
Harvester,9421114000,,,Epsom Road,SM4 5PJ,SURREY,,UK,A
Harvester,9425631165,,,Bury Street,HA4 7TJ,MIDDLESEX,,UK,A
Harvester,9421114034,,,101 London Road,CM14 4NP,ESSEX,,UK,A
Harvester,9421114091,,,Twyford Road,SO50 4LF,HAMPSHIRE,,UK,A
Harvester,9421114125,,,Bagshot Road,RG12 9RB,BERKSHIRE,,UK,A
Harvester,9421114141,,,1 High Street,BN26 5HA,EAST SUSSEX,,UK,A
Harvester,9421114158,,,Puttenham Heath Road,GU3 1AJ,GUILDFORD,,UK,A
Harvester,9421114166,,,London Road,HP9 1UD,BUCKS,,UK,A
Harvester,9421114182,,,Guildford Road,GU16 6NR,CAMBERLEY,,UK,A
Harvester,9421114224,,,Cribbs Causeway,BS10 7TL,BRISTOL,,UK,A
Harvester,9421114273,,,Mandeville Road,UB5 4LU,MIDDLESEX,,UK,A
Harvester,9421114299,,,374 London Road,SL3 7HX,SLOUGH,,UK,A
Harvester,9421114331,,,Old Castle Road,SP1 3SF,WILTS,,UK,A
Harvester,9421114356,,,Pencoed,CF35 5HU,BRIGEND,,UK,A
Harvester,9421112442,,,Church Road,KT4 7RD,SURREY,,UK,A
Harvester,9421112491,,,390 Maidstone Road,ME8 0HT,KENT,,UK,A
Harvester,9421112541,,,105 Dartford Road,DA1 3EP,KENT,,UK,A
Harvester,9421112590,,,Amherst Hill,TN13 2EN,KENT,,UK,A
Harvester,9421112640,,,London Road,SG1 1XH,HERTS,,UK,A
Harvester,9421112657,,,Boston Road,W7 2AX,LONDON,,UK,A
Harvester,9421112673,,,Chatham Road,ME14 3AG,MAIDSTONE,,UK,A
Harvester,9421112830,,,207 Frenchay Park Road,BS16 1LF,BRISTOL,,UK,A
Harvester,9421112855,,,Winchester Road,RG22 6HN,HAMPSHIRE,,UK,A
Harvester,9421112970,,,New Ashby Road,LE11 4EX,LEICS,,UK,A
Harvester,9421113036,,,High Road,WD23 1JD,BUSHEY,,UK,A
Harvester,9421113044,,,250 Maidenhead Road,SL4 5HQ,BERKSHIRE,,UK,A
Harvester,9421113051,,,St. Nicolas Park Drive,CV11 6EN,WARWICKSHIRE,,UK,A
Harvester,9421110891,,,393-395 High Road,IG8 0XG,ESSEX,,UK,A
Harvester,9421668591,,,Canterbury Road,TN24 8QQ,KENT,,UK,A
Harvester,9421668658,,,London Road,CO3 8WJ,COLCHESTER,,UK,A
Harvester,9421200601,,,1 Arena Approach,BL6 6LB,Bolton,,UK,A
Harvester,9421668773,,,1 Clifton Lane,NG11 7AT,NOTTINGHAM,,UK,A
Harvester,9421668831,,,Eastern Road,PO3 6QB,PORTSMOUTH,,UK,A
Harvester,9421668898,,,54 Brighton Road,RH1 5DA,REDHILL,,UK,A
Harvester,9420147555,,,Haslett Avenue East,RH10 1UJ,CRAWLEY,,UK,A
Harvester,9421693524,,,London Road,AL3 8HT,ST. ALBANS,,UK,A
Harvester,9421669011,,,Blackbrook Park Avenue,TA1 2PX,SOMERSET,,UK,A
Harvester,9421609967,,,Roundhouse Road,DE24 8JE,DERBY,,UK,A
Harvester,9421649179,,,Stanley Mathews Way,ST4 8FR,STOKE-ON-TRENT,,UK,A
Harvester,9421671827,,,Rochester Road,DA12 4TN,KENT,,UK,A
Harvester,9421669078,,,Clockhouse Lane,RM16 5UR,ESSEX,,UK,A
Harvester,9421669136,,,Victoria Road,SA4 3AB,SWANSEA,,UK,A
Harvester,9421669193,,,29 The Waterfront,BN23 5UZ,EASTBOURNE,,UK,A
Harvester,9421671140,,,Orrell Hill Lane,L38 5DA,LIVERPOOL,,UK,A
Harvester,9420573040,,,Lower Mill Field,NP4 0RH,PONTYPOOL,,UK,A
Harvester,9427662119,,,East Lake Park Tongwell Street,MK15 0SB,MILTON KEYNES,,UK,A
Harvester,9421199696,,,46 Harpenden Road,AL3 5AH,ST. ALBANS,,UK,A
Harvester,9421113135,,,High Road,SS16 6HU,BASILDON,,UK,A
Harvester,9421355686,,,Bath Road,SL6 0AJ,MAIDENHEAD,,UK,A
Harvester,9421482431,,,117 Bicester Road,OX5 2PX,KIDLINGTON,,UK,A
Harvester,9421487455,,,15 The Boardwalk,PO6 4TP,PORTSMOUTH,,UK,A
Harvester,9421192162,,,Oundle Road,PE2 6XE,PETERBOROUGH,,UK,A
Harvester,9421448796,,,Princes Road,DA2 6NQ,KENT,,UK,A
Harvester,9421874165,,,Alder Road,BH12 4AY,POOLE,,UK,A
Harvester,9421461526,,,1 Whichers Gate Road,PO9 6BB,PORTSMOUTH,,UK,A
Harvester,9420121451,,,Swindon Road,DY6 9XA,WEST MIDLANDS,,UK,A
Harvester,9421874223,,,Olympus Park Business Centre,GL2 4NF,GLOUCESTER,,UK,A
Harvester,9427658190,,,91 Main Road,RM2 5EL,ESSEX,,UK,A
Harvester,9427662648,,,St. Albans Road,WD25 0LL,WATFORD,,UK,A
Harvester,9421713314,,,Cove Road,GU51 2SH,FLEET,,UK,A
Harvester,9421300195,,,Watford Road,WD3 3RX,RICKMANSWORTH,,UK,A
Harvester,9421458654,,,160 Plymouth Road,PL7 4NE,Plymouth Devon,,UK,A
Harvester,9420488496,,,Arterial Road,SS6 7SP,ESSEX,,UK,A
Harvester,9421892092,,,128 Hale Lane,HA8 9RZ,EDGWARE,,UK,A
Harvester,9420457863,,,507 London Road,HP3 9BQ,HEMEL HEMPSTEAD,,UK,A
Harvester,9427523410,,,Larkswood Leisure Park,E4 9EY,CHINGFORD,,UK,A
Harvester,9420457889,,,Sarn Retail Park,CF31 3UD,BRIDGEND,,UK,A
Harvester,9445937386,,,Brayford Wharf North,LN5 8PU,LINCOLN,,UK,A
Harvester,9420680761,,,Junction 43 M4,SA10 6GZ,Neath West Glam,,UK,A
Harvester,9421970732,,,Cheaney Drive,NN4 5EZ,NORTHAMPTON,,UK,A
Harvester,9442120184,,,Great Southern Road,AB12 5XA,ABERDEEN,,UK,A
Harvester,9442123402,,,39 London Road,GU19 5EG,BAGSHOT,,UK,A
Harvester,9442120051,,,Accrington Road,BB11 5QH,BURNLEY,,UK,A
Harvester,9442121844,,,Durley Chine Road,BH2 5JG,BOURNEMOUTH,,UK,A
Harvester,9442121372,,,220 Belle Vue Road,BH6 3BA,BOURNEMOUTH,,UK,A
Harvester,9442121224,,,Village Square,BN2 5WD,BRIGHTON,,UK,A
Harvester,9442122156,,,Whitchurch Road,CH3 6AE,CHESTER,,UK,A
Harvester,9442122016,,,275 High Road,CM16 6EE,EPPING,,UK,A
Harvester,9442120739,,,1 Windmill Road,CR4 4HT,MITCHAM,,UK,A
Harvester,9442122081,,,High Street,EN6 5BT,POTTERS BAR,,UK,A
Harvester,9442120671,,,7 Haven Road,EX2 8BP,EXETER,,UK,A
Harvester,9442121075,,,Longhouse Lane,FY6 8DF,POULTON-LE-FYLDE,,UK,A
Harvester,9442119863,,,Old Marlow Road,HP10 9QD,HIGH WYCOMBE,,UK,A
Harvester,9442123329,,,Watling Street,LU7 9NB,LEIGHTON BUZZARD,,UK,A
Harvester,9442122248,,,Leisure Way,NR32 4TZ,LOWESTOFT,,UK,A
Harvester,9442121547,,,710 Bury Road,OL11 5HW,ROCHDALE,,UK,A
Harvester,9442120077,,,Butlers Green Road,RH16 4BB,HAYWARDS HEATH,,UK,A
Harvester,9442121505,,,Ness Road,SS3 9HQ,SOUTHEND-ON-SEA,,UK,A
Harvester,9442120689,,,Liebenrood Road,RG30 2ND,READING,,UK,A
Harvester,9442121778,,,Stanney Lane,CH2 4HT,CHESTER,,UK,A
Harvester,9442120150,,,Parsonage Way,WN7 5SJ,LEIGH,,UK,A
Harvester,9442120747,,,Newcastle Road,SR5 1JT,SUNDERLAND,,UK,A
Harvester,9442121596,,,Bay View Drive,CH45 3QS,WALLASEY,,UK,A
Harvester,9442121893,,,Birmingham Road,CV5 9TZ,COVENTRY,,UK,A
Harvester,9442123428,,,Coastguard Road,BN17 5LH,LITTLEHAMPTON,,UK,A
Harvester,9442121083,,,Napier Road,G52 4DR,GLASGOW,,UK,A
Harvester,9442120663,,,Unit 1 The Terrace,BN2 1PS,BRIGHTON,,UK,A
Harvester,9442120937,,,3 Broxden Avenue,PH2 0PX,PERTH,,UK,A
Harvester,9442120879,,,Fold Way,OL7 0PG,ASHTON-UNDER-LYNE,,UK,A
Harvester,9442121364,,,Hatherley Lane,GL51 6TA,CHELTENHAM,,UK,A
Harvester,9442120127,,,Barnfield Drive,PO19 6AG,CHICHESTER,,UK,A
Harvester,9442120010,,,Selby Road,LS15 9JA,LEEDS,,UK,A
Harvester,9442123469,,,Worcester Road,WR9 7PA,DROITWICH,,UK,A
Harvester,9442123410,,,Carr Wood Road,WF10 4PS,CASTLEFORD,,UK,A
Harvester,9442121299,,,St Oswalds Road,GL1 2SR,GLOUCESTER,,UK,A
Harvester,9442119855,,,Mid Summer Place,SP4 7SQ,SALISBURY,,UK,A
Harvester,9442136875,,,Jubilee Leisure Park,FY5 1LB,Blackpool,,UK,A
Harvester,9442141768,,,Haver Hill Business Park,CB9 8QP,Haver Hill,,UK,A
Harvester,9444912208,,,Tamworth Road,B75 5SA,SUTTON COLDFIELD,,UK,A
Harvester,9444912216,,,Beacon Quay,TQ1 2RD,TORQUAY,,UK,A
Harvester,9444912794,,,Unit 8 Halberth Retail Park,KY11 4LP,Dunfermline,,UK,A
Harvester,9444912372,,,Cranes Farm Road,SS14 3TJ,Basildon,,UK,A
Harvester,9444912422,,,Unit 19 Morfa Shopping Parc,SA1 2FB,Swansea,,UK,A
Harvester,9444912448,,,Undercliff Road,BH5 1BN,BOURNEMOUTH,,UK,A
Harvester,9444912463,,,Otterspool Drive,L17 5AL,LIVERPOOL,,UK,A
Harvester,9444912489,,,Stone Road,ST4 8AA,STOKE ON TRENT,,UK,A
Harvester,9444912661,,,Providence Hill,SO31 8AT,SOUTHAMPTON,,UK,A
Harvester,9421113739,,,Lyndhurst Road,BH23 7DS,HAMPSHIRE,,UK,A
Harvester,9445931694,,,Thamesdown Drive,SN25 2HH,SWINDON,,UK,A
Harvester,9444122576,,,Dunleavey Drive,CF11 0SN,Cardiff,,UK,A
Harvester,9445567894,,,Weekly Wood Avenue,NN14 1QF,KETTERING,,UK,A
Harvester,9442120838,,,Wharf Road,EN3 4TD,ENFIELD,,UK,A
Harvester,9442121125,,,136 Main Road,DA14 6NZ,SIDCUP,,UK,A
Harvester,9442121323,,,Blackpool Road North,FY8 3RU,LYTHAM ST ANNES,,UK,A
Harvester,9442121760,,,Springfield Quay,G5 8NP,GLASGOW,,UK,A
Harvester,9442123345,,,Wide Lane,LS27 8PL,LEEDS,,UK,A
Harvester,9442122164,,,1 Riverfield Drive,MK41 0UE,BEDFORD,,UK,A
Harvester,9442120994,,,Drove Road,SN1 3AG,SWINDON,,UK,A
Harvester,9442121513,,,Westwood Road,CT10 2NN,BROADSTAIRS,,UK,A
Harvester,9444904502,,,Talmead,CT6 6LB,Herne Bay,,UK,A
Harvester,9446891632,,,Merthyl Tydfil Leisure Centre,CF48 1UT,,,UK,A
Harvester,9422459602,,,Buckshaw Link,PR7 7EL,Lancashire,,UK,A
Harvester,9448629709,,,Wellington Avenue,GU11 1QJ,HAMPSHIRE,,UK,A
Harvester,9445937345,,,Savages Wood Road,BS32 8EF,BRISTOL,,UK,A
Harvester,9446832909,,,Tilley's Lane West,CM18 4BL,Staines,,UK,A
Harvester,9446898116,,,Charon Way,WA5 3AX,WARRINGTON,,UK,A
Harvester,9446887663,,,Unit 31 Entertainment Avenue,SE10 0DX,North Grenwich,,UK,A
Harvester,9446889693,,,Unit 1 Xscape,MK9 3XS,MILTON KEYNES,,UK,A
Harvester,9447270612,,,Plot Q,NN3 9HU,Northampton,,UK,A
Harvester,9447974288,,,Broad Street Plaza,HX1 1UU,West Yorkshire,,UK,A
Harvester,9446896821,,,Unit 14B kings Inch Road,PA4 8XQ,GLASGOW,,UK,A
Harvester,9446895427,,,The Valley Centertainment,S9 2EP,Sheffield,,UK,A
Harvester,9446903494,,,Unit 1 Cardigan Fields Leisure Park,LS4 2DG,LEEDS,,UK,A
Harvester,9447270653,,,Ninth Avenue,DE14 2WF,Burton on Trent,,UK,A
Harvester,9447278144,,,Unit 6 St Catherines Walk,SA31 1GA,Carmarthen,,UK,A
Harvester,9446892473,,,Unit J Meridian Leisure Park,LE19 1JZ,Leicester,,UK,A
Harvester,9446895435,,,Milton House,NG1 4AF,Nottingham,,UK,A
Harvester,9447979402,,,Gateshead,NE11 9YG,,,UK,A
Harvester,9447978818,,,Ormskirk Road,L9 5AY,Merseyside,,UK,A
Harvester,9446897456,,,Unit 5 Cwmbran Leisure,NP44 1QS,Gwent,,UK,A
Harvester,9447429705,,,Fort Parkway,B24 9FP,,,UK,A
Harvester,9447974270,,,Stirling Road,YO30 4XY,Yorkshire,,UK,A
Harvester,9447978784,,,Castle Bridge Road,NG7 1GX,,,UK,A
Harvester,9447891490,,,Cygnet Park,PE7 8FD,Peterborough,,UK,A
Harvester,9446897886,,,Unit 13 The Oasis,S9 1EP,SHEFFIELD,,UK,A
Harvester,9446897522,,,Southampton Road,SO50 5FX,Eastleigh,,UK,A
Harvester,9446903411,,,Unit 4 Crawley Leisure Park,RH10 8LR,CRAWLEY,,UK,A
Harvester,9447278169,,,The Quays,M50 3AH,Salford,,UK,A
Harvester,9446903403,,,Unit 4 St Margarets Road,GL50 4FA,Cheltenham,,UK,A
Harvester,9447429630,,,Unit 63A The Galleria,AL10 0XR,Hatfield,,UK,A
Harvester,9421686957,,,Unit 5 Fort Shopping Centre,G34 9DL,Glasgow,,UK,A
Harvester,9447277716,,,Cardinal Leisure Park,IP1 1AX,Ipswich,,UK,A
Harvester,9447277757,,,18-19 Church Street,CF10 1BG,CARDIFF,,UK,A
Harvester,9447270687,,,202 Southbury Road,EN1 1UY,ENFIELD,,UK,A
Harvester,9447270711,,,The Printworks,M4 2BS,Manchester,,UK,A
Harvester,9447270646,,,Unit 13 Star City,B7 5SA,Nechells,,UK,A
Harvester,9447270620,,,The Sky Dome,CV1 3AZ,Coventry,,UK,A
Harvester,9423456524,,,Seven Stiles Avenue,NP19 4QR,Gwent,,UK,A
Harvester,9422459594,,,Nacton Road,IP3 9GF,Ipswich,,UK,A
Harvester,9420090326,,,Unit 1B 12 New Square Shopping Centre,B70 7PP,West Bromwich,,UK,A
Harvester,9429079809,,,Unit 2a,TF3 4AQ,Telford,,UK,A
Harvester,9420085896,,,Unit E2/E1 Whiteley Bay,PO15 7LJ,Fareham,,UK,A
Harvester,9421711615,,,Broadfields Retail Park,HP19 8BU,Aylesbury,,UK,A
Harvester,9442951257,,,Unit RU4a The Croft Retail & Leisure Park,CH62 3PN,Wirral,,UK,A
Harvester,9440949584,,,Unit 13 Riverside Retail Park,WA1 2GZ,Warrington,,UK,A
Harvester,9441154424,,,Unit 11D Talbot Green Retail Park,CF72 8LW,Cardiff,,UK,A
Harvester,9440867802,,,Unit 302 The Centre,EH54 6GS,Livingston,,UK,A
Harvester,9441327418,,,1 Derby Road,NS40 2EZ,Chesterfield,,UK,A
Harvester,9440867786,,,Plot A2 Milton Gate,OX14 4TX,Oxfordshire,,UK,A
Harvester,9442824983,,,Preston Road North,NE29 9DN,Tyne & Wear,,UK,A
Harvester,9442825014,,,Old Potts Way,SY3 7ET,SHREWSBURY,,UK,A
Harvester,9442825022,,,Castle Gate,DY1 4TA,Dudley,,UK,A
Harvester,9442825113,,,Esplanade Road,TQ4 6AG,Paignton,,UK,A
Harvester,9442825139,,,Ryhope Road,SR2 0SP,Sunderland,,UK,A
Harvester,9442836557,,,Racecourse Road,SK9 5LR,Wilmslow,,UK,A
Harvester,9442837613,,,Yew Tree Drive Weston-Super-Mare,BS22 6DB,Weston-Super-Mare,,UK,A
Harvester,9442837845,,,Barrowby Lane,NG31 8SR,Grantham,,UK,A
Harvester,9442836870,,,Droitwich Road Worcester,WR3 7JU,Worcester,,UK,A
Harvester,9442837290,,,Stratford Road,CV34 6RB,Longbridge,,UK,A
Harvester,9442837803,,,Bowleaze Coveway,DT3 6PN,,,UK,A
Harvester,9442836722,,,Tallys End Chesterfield Road,S43 4TX,,,UK,A
Harvester,9442836789,,,Ty Glas Avenue,CF14 5DX,Cardiff,,UK,A
Harvester,9442837969,,,Holmes Chapel Road,CW10 0JB,Middlewich,,UK,A
Harvester,9442837936,,,Gibraltar Road,HU7 3DB,Hull,,UK,A
Harvester,9442836425,,,299 Low Lane,LS18 4DD,Leeds,,UK,A
Harvester,9442836334,,,Eaglesham Road,G75 8LW,Glasgow,,UK,A
